"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"0319-6G20",0,0,0,0,0,0,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"11-24",297,382,258,143,159,223,64,105,221,132,289,121,328,142,391,383,260,0,0,0,0,0,0,254,75,143
"Acetobacterales",296,318,167,158,161,220,332,332,346,402,236,180,177,133,117,141,202,0,9,4,0,0,0,152,127,215
"Acidobacteriae",0,0,0,0,68,66,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Acidobacteriales",113,88,78,74,34,113,107,0,0,0,0,72,0,104,190,206,116,0,0,0,0,0,0,103,89,110
"Actinomycetales",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKIW659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0
"Anaerolineae",35,39,85,46,65,71,48,44,25,15,0,40,31,43,0,15,70,0,0,0,0,0,0,42,88,37
"Anaerolineales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0
"Armatimonadales",162,133,0,0,23,93,37,14,189,201,63,121,74,25,31,34,22,24,31,0,0,0,0,60,31,116
"Babeliales",0,8,22,14,0,0,64,38,0,0,29,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillales",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,28,0,0,0,37,10,0,0,0
"Bacteriovoracales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0
"Bacteroidales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0
"BD72BR169",5,0,0,0,5,0,0,0,8,0,0,0,7,10,0,7,0,0,0,0,0,0,0,0,7,0
"Bdellovibrionales",0,0,0,0,0,0,0,6,0,0,5,7,9,0,0,5,0,0,6,0,0,0,0,0,0,0
"Bifidobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Blastocatellales",1658,695,954,913,497,464,666,406,0,10,115,266,207,699,838,655,451,0,0,0,0,0,0,617,546,589
"Blfdi19",0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobacterales",855,3146,3103,591,591,1272,1298,1295,1215,1309,1119,727,1024,636,1358,1228,1384,0,0,0,0,0,0,1433,1097,1030
"Burkholderiales",6116,3096,3037,1086,1248,1172,1358,1367,1626,1543,1076,2400,1144,1118,882,978,1361,7636,7246,15907,8801,3604,5307,1430,1427,877
"Caldilineales",0,8,0,0,5,0,0,10,0,0,25,0,19,0,0,0,7,0,0,0,0,0,0,15,6,9
"Candidatus_Yanofskybacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"Candidatus_Zambryskibacteria",10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,38,7,7,8,0,0,0
"Caulobacterales",32,92,92,40,68,68,100,63,220,196,121,60,145,87,80,52,59,63,80,24,21,103,144,67,68,70
"CCD24",5,26,0,35,18,31,32,37,98,79,76,0,64,30,27,33,0,0,0,0,0,0,0,0,8,7
"Chitinophagales",1898,1888,2550,268,363,180,740,635,476,502,163,673,187,298,399,493,526,312,295,1608,655,335,370,389,473,463
"Chlamydiales",27,76,137,195,231,174,197,99,120,46,190,25,57,206,164,139,237,78,119,0,0,39,61,120,202,175
"Chloroflexales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,15,20,0,0,0
"Chloroplast",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,332,400,21,10,357,85,0,0,0
"Chthoniobacterales",218,631,147,46,288,132,418,248,11,0,519,84,577,0,15,16,108,89,66,0,8,31,21,106,274,482
"Chthonomonadales",345,141,67,84,137,187,168,127,120,193,122,361,130,232,171,151,239,0,0,0,0,0,0,360,255,219
"Clostridiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,16,0,0,0
"Competibacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,6,0,0,0
"Coriobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Corynebacteriales",169,18,33,33,19,39,52,33,88,0,13,99,0,0,17,0,0,277,286,260,158,277,232,7,0,15
"Coxiellales",0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanobacteriales",11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,15,12,0,0,28,13,0,0,0
"Cytophagales",143,127,131,143,199,101,70,131,202,141,175,127,70,108,28,20,77,99,113,2166,642,185,181,66,105,98
"Defluviicoccales",0,8,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deinococcales",139,806,404,0,42,0,340,152,0,245,6,96,0,0,0,0,122,0,0,0,0,0,0,154,166,184
"Desulfatiglandales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Desulfobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Diplorickettsiales",100,133,39,14,46,61,5,34,35,16,27,51,26,95,42,14,103,132,130,11,23,159,216,55,83,65
"Dongiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Elev-16S-1166",303,1432,1488,28,198,209,162,179,150,149,730,168,597,9,309,258,249,0,0,0,0,0,0,228,114,125
"Elsterales",0,10,0,5,0,0,0,0,6,14,0,0,10,6,5,0,0,0,0,0,0,0,0,0,5,0
"Enterobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Erysipelotrichales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"Fimbriimonadales",36,13,0,5,6,0,0,17,102,90,15,54,27,6,0,5,0,0,0,0,0,0,0,0,5,13
"Flavobacteriales",72,5,0,0,0,0,0,0,0,0,11,64,0,0,0,0,0,348,343,2320,484,692,814,0,0,0
"Frankiales",6085,252,57,29,148,22,239,276,250,259,160,1254,169,0,66,47,14,7408,6795,9652,3236,2998,2842,81,306,175
"Ga0077536",0,5,16,0,0,0,0,12,0,0,18,10,21,0,12,0,0,0,0,0,0,0,0,0,8,12
"Gaiellales",5,15,0,0,7,9,0,0,0,0,86,14,27,5,0,0,0,14,13,0,0,12,41,19,0,0
"Gammaproteobacteria_Incertae_Sedis",53,38,52,46,32,53,70,35,100,48,0,25,24,21,35,27,20,0,8,0,0,0,0,73,32,37
"Gemmatales",3321,1919,1253,1110,1747,1643,2106,1393,1707,1576,1235,1445,1545,1595,1102,1207,1728,64,64,0,0,48,55,2067,1823,2375
"Gemmatimonadales",78,212,170,75,94,102,102,20,74,30,51,71,31,110,144,109,121,26,19,0,0,18,7,73,110,126
"Geobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Haliangiales",6,15,16,0,18,7,0,14,5,0,88,6,26,10,21,0,14,0,0,0,0,0,0,6,8,6
"Holophagales",8,6,5,6,0,0,6,12,6,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6
"Holosporales",0,23,31,29,25,0,6,0,11,0,38,11,23,7,12,30,20,15,0,0,0,5,0,22,13,0
"IMCC26256",38,134,102,79,75,74,113,97,24,8,86,34,90,92,66,41,123,10,12,0,0,15,0,97,60,95
"Isosphaerales",798,311,325,240,365,309,420,336,312,753,160,308,130,155,101,118,310,615,784,38,62,180,320,407,221,482
"JG30-KF-CM66",83,263,182,123,272,108,224,265,53,54,235,25,205,255,80,77,178,0,0,0,0,0,0,285,130,243
"JG36-TzT-191",385,1047,808,221,183,339,277,350,291,478,460,200,503,303,106,63,371,0,0,0,0,0,0,511,333,267
"Kapabacteriales",332,83,106,117,159,150,186,158,119,75,0,119,0,90,77,68,168,2,5,0,0,0,0,105,163,100
"KD4-96",35,58,33,66,53,98,125,5,24,5,13,35,11,31,60,27,24,28,22,0,0,6,38,96,90,103
"Kineosporiales",0,0,0,0,0,12,0,9,0,0,30,0,40,0,12,8,10,0,8,0,0,0,0,10,0,0
"Lachnospirales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Lactobacillales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Latescibacterota",0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Legionellales",18,10,11,17,8,27,17,22,28,30,39,21,24,25,26,13,22,63,51,10,13,42,0,7,0,9
"Leptolyngbyales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"Limnochordales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Methanomicrobiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Methylococcales",84,465,308,104,109,18,10,15,19,20,31,67,28,60,164,145,79,228,132,51,47,43,155,128,5,160
"Micrococcales",1111,82,14,0,48,21,96,115,142,142,135,381,106,0,13,0,0,2818,2937,1750,732,1250,1840,45,52,56
